"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FAM83A",249.517659207552,2.39779229631242,0.219733324225042,5.60419223022775e-29,4.21730213198928e-26
"SCRIB",146.026980410784,-1.00364486801659,0.10294469461528,1.59201337201125e-23,4.29483154585223e-21
"FASN",165.693832976448,-1.09454571914159,0.113299900260922,3.31786981250979e-23,8.62525501441182e-21
"ZFHX3",3713.71814818277,4.44483908905007,0.490028107884181,5.03697821625403e-21,7.274617629899e-19
"GRN",1539.58141731782,-1.0417981596268,0.117582612003337,6.73295580776356e-20,8.08973127221877e-18
"MORC4",526.748437929415,1.03161261057916,0.11757231220302,1.29793448610199e-19,1.44983338142861e-17
"PGAP1",45.7592104227052,1.123077538109,0.130167549518193,3.52464591015665e-19,3.651839653871e-17
"DMXL1",120.877217422708,1.57184441775919,0.195218278647626,4.40214959033553e-17,3.22779153039064e-15
"SCAF8",77.7801409600084,2.14133007933721,0.267677627089895,5.62585228727914e-17,4.00191223898095e-15
"MEIS2",49.0315913798178,3.13732031612146,0.393480681074549,5.90469746697041e-17,4.15888494496271e-15
"PWWP2B",78.5912323369379,-1.056822189573,0.131761013073007,1.05309332399527e-16,7.17006111737353e-15
"WDR74",1624.73112237331,1.72473866831012,0.217500376980854,1.41801413796757e-16,9.1741023279006e-15
"PTCH2",28.2770974454183,1.90382924915934,0.25060068044662,1.39240969647456e-15,7.37358290377528e-14
"PLD4",59.0744138862337,-1.18715053401532,0.16148063165306,1.31747592841557e-14,5.79608333061103e-13
"FEZF2",62.4267153157773,5.35651544363332,0.897486080781416,8.46305756566936e-14,3.17597892582521e-12
"TET3",238.511406095435,-1.39398482236894,0.20644431484464,9.61856861263e-13,2.84145235585504e-11
"ZNF703",59.414430977085,-1.09186291711232,0.167631217537838,5.46623186001504e-12,1.40821951593685e-10
"BICRA",72.0266528708869,-1.39818817294153,0.215453346742817,5.98545584155618e-12,1.52007189382896e-10
"EGR3",80.6437554580213,2.75458351917426,0.443339539409853,2.1858169813874e-11,4.78815028572949e-10
"OTUD4",77.2820731629334,1.3105599675202,0.214776989413445,6.27980250989448e-11,1.22494701618651e-09
"ENG",32.7235870872863,-1.34288315076246,0.221516665351113,1.05968092142781e-10,1.94497019442553e-09
"POT1",29.351305232825,1.00116996186324,0.166871773935924,1.67567522594777e-10,2.93612798781878e-09
"VKORC1L1",103.624565326757,1.12164399465782,0.188875913695438,2.06613924660548e-10,3.55923601782713e-09
"SNX25",20.1509800651957,1.30218633516954,0.221869458298675,2.45592132187777e-10,4.15068121279059e-09
"OR10K1",59.6338709732055,1.06866004630176,0.182675660432365,3.00390076424929e-10,5.02336527803935e-09
"MUC5B",30.5349701027953,-1.08618111102535,0.184924713905921,3.25348835117908e-10,5.39031013269508e-09
"S1PR5",110.698405433847,-1.01671769555676,0.174243576794863,4.20716174486397e-10,6.82792265925823e-09
"RPL21",216.5880614434,1.00585374242041,0.172966083131276,4.73463415502733e-10,7.59773278884183e-09
