"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","18/1018","56/9440",0.321428571428571,2.98063429694078,5.16813170284742,1.31284367748458e-05,0.00215106317038082,0.00181274963887626,"3297/3689/1195/10767/929/836/29108/317/3304/9554/664/7099/54205/3303/834/3576/4615/58484",18
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","44/1018","216/9440",0.203703703703704,1.88896165320527,4.59493655619759,2.09861634231665e-05,0.00215106317038082,0.00181274963887626,"5908/142678/3661/5906/5290/1535/4893/805/5608/3654/10010/5293/1147/4772/10454/929/23643/7410/836/9641/4773/51135/29110/29108/5609/317/9451/3265/6256/1432/3304/355/3717/7099/54205/4780/3303/8743/834/3576/5331/4615/5296/1548",44
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","49/1018","251/9440",0.195219123505976,1.81028342425974,4.52344124085583,2.39395153854605e-05,0.00215106317038082,0.00181274963887626,"57617/29109/1639/23207/2316/5585/5290/103910/5286/10627/5608/5788/3654/10094/55860/8717/5293/1147/10454/929/1434/23643/836/10092/55207/51135/9648/7295/6500/29108/5609/3265/1432/5894/10120/837/7099/54205/6990/10382/5878/8743/113146/834/3576/4615/84617/58484/838",49
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","49/1018","252/9440",0.194444444444444,1.80309975987776,4.49250466434253,2.66986603447734e-05,0.00215106317038082,0.00181274963887626,"55738/829/23396/116983/2870/29924/116986/4734/10938/10094/51699/9727/832/51534/79643/8766/10254/9559/830/51160/5590/56904/3560/55680/23527/116988/6455/9765/10092/51019/274/89853/9230/11059/26052/3265/5662/23325/3304/25978/3303/116987/26056/5878/57154/100526767/51510/729092/2350",49
"Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","12/1018","30/9440",0.4,3.70923379174853,5.16703689941418,3.15405156947334e-05,0.00215106317038082,0.00181274963887626,"23556/80055/94005/8733/5281/10026/8705/93210/9091/9488/54965/80235",12
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","46/1018","238/9440",0.19327731092437,1.7922768321474,4.30381489227171,5.46048147805211e-05,0.00300209111504106,0.00252993015714218,"3661/5290/4793/3654/6144/5293/1147/6230/6159/9641/6146/51135/29110/6206/1432/6170/100526842/6234/6232/200916/6233/7099/51187/6125/51311/1675/6165/6129/6135/9349/6218/6210/6152/834/6189/6156/6160/1636/6201/3576/6194/4615/6154/5296/51121/9636",46
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","48/1018","253/9440",0.189723320158103,1.7593203755329,4.25625578711611,6.16265038278223e-05,0.00300209111504106,0.00252993015714218,"989/3661/5290/103910/9140/81/10627/472/4793/10801/11335/10094/8717/5293/1147/10454/7334/823/929/7336/55072/10092/29110/6500/9474/5333/84335/3101/29108/3710/1432/81858/664/837/11146/6233/7099/54205/834/3576/22863/5331/83660/4615/10325/5296/4303/58484",48
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","34/1018","169/9440",0.201183431952663,1.86559096034689,3.94749908102423,0.000227457628983687,0.00898169590979211,0.00756907851018134,"57617/1509/7249/1613/5290/8417/9140/4893/3146/57448/9821/10010/5728/8887/5293/84971/203228/84938/29110/6794/9474/84335/5567/9451/3265/8408/5894/664/81671/64422/6233/22863/10325/5296",34
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","29/1018","137/9440",0.211678832116788,1.96291569271364,3.9469924994531,0.000263156130272972,0.00898169590979211,0.00756907851018134,"1509/5290/4893/472/84823/8717/5293/1147/823/836/55367/5551/3710/317/9451/3265/1520/5894/355/54205/2021/8743/4000/597/1521/5366/8722/5296/10039",29
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","24/1018","105/9440",0.228571428571429,2.11956216671344,4.01065186616212,0.000263392841929387,0.00898169590979211,0.00756907851018134,"89941/4893/22879/8887/9958/79735/64786/29110/9451/3265/55288/8408/664/7942/6233/54543/5878/345778/79671/57154/139341/10651/23770/9868",24
